testCaseFunc,environment,term,location, locationId, fromDate, toDate, date, pos, productId, guests, amenity, currency, page, perPage, adults, child, email, familyName, firstName, cardNo, cardMonth, cardYear, cardType, ccSecCode, amount, notes,telnumber, ccAddress, ccCountry, ccState, ccCity
testPropertyInquiryWithAbsentNotes,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,,1112223333,,,,
testPropertyInquiryWithZeroPersons,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,0,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithNegativeAdults,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,-2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithNegativeChildren,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,-2,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithTooManyAdults,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,50,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithTooManyChildren,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,50,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentAdult,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentChild,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithInvalidEmail,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentEmail,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentFamilyName,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentFirstName,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentTelNumber,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,,,,,
